대분류,지번주소 (읍/면/동),관할주소,인구[명],교통량(AADT),숙박업소(관광지수),상권밀집도(비율),위도,경도,adm_cd2,parcel_300m,parcel_500m,nearest_parcel_m,poi_store_300m,poi_hotel_300m,poi_restaurant_300m
가설건축,충청남도 공주시 송선동 637-4,충청남도,15562,17597,0,0.02,36.49409053,127.1599032,4415059000.0,113,345,0.0,0,0,0
가설건축,충청남도 천안시 서북구 성정동 721-8,충청남도,18124,54979,33,0.02,36.81461332,127.1349676,4413351000.0,672,1750,0.0,11,0,67
가설건축,충청남도 부여군 부여읍 가증리 214-2,충청남도,18159,1317,31,0.04,36.2962203,126.9445613,4476025000.0,200,517,0.0,0,2,1
가설건축,충청남도 아산시 실옥동 199-2,충청남도,19312,29758,2,0.01,36.78962918,126.9863427,4420060000.0,475,1085,0.0,2,0,6
가설건축,충청남도 아산시 음봉면 산동리 449-1,충청남도,21660,19838,41,0.03,36.83126495,127.0948166,4420035000.0,468,1013,0.0,1,0,8
가설건축,충청남도 천안시 서북구 성거읍 소우리 175-17,충청남도,21806,34811,7,0.02,36.87962088,127.1750048,4413325300.0,345,676,0.0,0,0,3
가설건축,충청남도 천안시 서북구 성거읍 저리 44-15,충청남도,21806,34811,7,0.02,36.88046625,127.2032285,4413325300.0,433,866,0.0,3,0,22
가설건축,충청남도 천안시 동남구 용곡동 289-9,충청남도,21829,24639,1,0.02,36.79008624,127.1416939,4413156000.0,399,956,0.0,2,0,24
가설건축,충청남도 아산시 신창면 남성리 506,충청남도,32158,25047,2,0.01,36.79489682,126.946855,4420041000.0,277,699,0.0,1,0,2
가설건축,충청남도 홍성군 홍성읍 내법리 396-6,충청남도,37640,10780,30,0.03,36.61676369,126.6641151,4480025000.0,292,746,0.0,0,0,3
가설건축,충청북도 음성군 삼성면 덕정리 28-1,충청북도,8443,5500,4,0.04,37.013892,127.5177659,4377035000.0,265,590,0.0,1,0,1
가설건축,충청북도 청주시 서원구 남이면 척산리 263,충청북도,9737,28239,13,0.05,36.56290538,127.4498807,4311231000.0,311,734,0.0,0,0,3
가설건축,충청북도 청주시 흥덕구 강내면 연정리 160-1,충청북도,12627,9722,3,0.02,36.58485316,127.3848718,4311331000.0,329,660,0.0,0,0,1
가설건축,충청북도 음성군 맹동면 봉현리 248-1,충청북도,13860,8796,8,0.03,36.94217753,127.5429168,4377033000.0,299,675,0.0,0,0,0
가설건축,충청북도 청주시 청원구 내수읍 구성리 280,충청북도,19095,31846,11,0.02,36.69039521,127.512834,4311425000.0,429,905,0.0,0,0,0
