hd_nm,숙박업소수
가덕면,2
고척제1동,2
진북면,2
임오동,2
창수면,2
청소면,2
계남면,2
청림동,2
고북면,2
후암동,2
자양제3동,2
효령면,2
천연동,2
계림동,2
일로읍,2
축산면축산출장소,2
고대면,2
초동면,2
철원읍,2
자월면이작출장소,2
청량읍,2
청라면,2
진잠동,2
해신동,2
탄벌동,2
주월1동,2
광남1동,2
간전면,2
한반도면쌍용출장소,2
형곡1동,2
점동면,2
하점면,2
홍산면,2
태전1동,2
간석4동,2
홍은제1동,2
홍은제2동,2
주촌면,2
주포면,2
홍제제1동,2
현동면,2
감천면,2
현도면,2
정동면,2
갈산면,2
정릉제1동,2
정릉제2동,2
향촌동,2
갈매동,2
행주동,2
조안면,2
행안면,2
행신2동,2
해평면,2
해리면,2
해안면,2
정안면,2
하빈면,2
하남읍,2
죽장면,2
평동,2
회덕동,2
장목면외포출장소,2
장산면,2
태평3동,2
지원1동,2
가은읍,2
태평4동,2
지수면,2
황성동,2
지도읍,2
장연면,2
장위제1동,2
판문동,2
중흥동,2
장유3동,2
각북면,2
평리1동,2
화원읍,2
중앙탑면,2
가회면,2
화암면,2
중산2동,2
평창동,2
거류면,2
화서1동,2
가흥1동,2
개포4동,2
중곡제4동,2
풍각면,2
풍양면,2
일반성면,2
,2
남산2동,2
남목1동,2
영등1동,2
산격1동,2
백산면,2
나성동,2
염포동,2
염산면,2
연초면,2
송림6동,2
백아면,2
대방동,2
백학면,2
범서읍,2
성수1가제2동,2
송천1동,2
엄다면,2
어룡동,2
별내동,2
남사읍,2
대흥면,2
병점2동,2
보개면,2
양지동,2
보라동,2
양도면,2
방화제1동,2
산곡4동,2
길음제2동,2
방배4동,2
성연면,2
성전면,2
능주면,2
물야면,2
옥산면,2
삼가동,2
미양면,2
옥곡면,2
신도림동,2
반구2동,2
오천면,2
세종대왕면,2
반송제1동,2
산척면,2
오근장동,2
오가면,2
반여제3동,2
반월중앙동,2
기산면,2
소양면,2
영인면,2
반포4동,2
산수1동,2
송탄동,2
보문동,2
양감면,2
대저2동,2
대의면,2
부주동,2
신풍동,2
대원동,2
신평제1동,2
부평3동,2
대원2동,2
신평1동,2
부평6동,2
신태인읍,2
신천1.2동,2
신창면,2
부항면,2
불당2동,2
신인동,2
신의면,2
신월2동,2
신곡2동,2
신광면,2
신길제4동,2
북삼읍,2
신니면,2
신둔면,2
남천제2동,2
부암동,2
약수동,2
비래동,2
송하동,2
송해면,2
본오1동,2
송현2동,2
수곡1동,2
봉개동,2
안흥면,2
노은면,2
수유2동,2
봉성면,2
대치2동,2
부개1동,2
안산동,2
남제동,2
남종면,2
악양면,2
아주동,2
아미동,2
순흥면,2
남천면,2
비산2.3동,2
쌍문제2동,2
숭인제1동,2
삼기면,2
미탄면,2
옥종면,2
도천면,2
구서제2동,2
서하면,2
서홍동,2
서후면,2
유천2동,2
유림1동,2
석곡면,2
위례동,2
매곡동,2
월항면,2
석남2동,2
월산면,2
석남동,2
삼학동,2
월산4동,2
매송면,2
월곡제2동,2
월계3동,2
면목제4동,2
대동면,2
도덕면,2
면목제7동,2
원효로제2동,2
면천면,2
원성1동,2
원삼면,2
응암제1동,2
만수3동,2
답십리제2동,2
상2동,2
상사면,2
동산동,2
교하동,2
상촌면,2
동백2동,2
상대원3동,2
대가면,2
상대원1동,2
이화동,2
동홍동,2
이촌제2동,2
대덕읍,2
이문제1동,2
서빙고동,2
둔덕면,2
상계3.4동,2
구림면,2
이곡1동,2
서신동,2
의흥면,2
의창동,2
당리동,2
당감제1동,2
마천1동,2
서초1동,2
석보면,2
신덕면,2
용답동,2
다산면,2
도림동,2
도안면,2
묵제2동,2
군동면,2
무안면,2
금남동,2
왕궁면,2
용호제4동,2
다산2동,2
다압면,2
다도면,2
모서면,2
용현면,2
묵제1동,2
무태조야동,2
선장면,2
운남면,2
운봉읍,2
운산면,2
금수강산면,2
귀래면,2
성산제1동,2
웅남동,2
대명1동,2
용방면,2
성동면,2
온양4동,2
선부2동,2
용산동,2
삼송2동,2
용궁면,2
용강동,2
모충동,2
상계1동,1
삼향동,1
평리5동,1
풍세면,1
불로.봉무동,1
삼국유사면,1
평내동,1
개봉제1동,1
학운동,1
상도제1동,1
불갑면,1
상도제3동,1
북천면,1
상대원2동,1
풍향동,1
