연도,도로종류,지점번호,호선,구간,차로,도/시,시/군,읍/면,동/리,구분, AADT ,XCODE,YCODE
2024,5,28-06   ,28,숙암리-미로면,2,강원,삼척,하장,숙암,수시, 862 ,37.34232,128.97091
2024,3,0333-28 ,333,왕대리-금사면,2,경기,여주,흥천,귀백,수시," 1,219 ",37.34254,127.55983
2024,1,17113,171.2,서수지IC-서분당IC,6,경기,용인,수지,신봉,수시," 132,588 ",37.34335,127.05909
2024,2,4508-000,45,용인시-오포면,4,경기,용인,모현,왕산,상시," 27,275 ",37.34342,127.25053
2024,1,00137,1,신갈JCT-판교JCT,8,경기,용인,기흥,상갈,수시," 212,537 ",37.34371,127.10355
2024,2,3126-001,31,영월읍-평창읍,2,강원,평창,평창,약수,상시," 3,022 ",37.34473,128.38155
2024,1,05005,50,안산IC-안산JCT,9,경기,안산,상록,양상,수시," 157,585 ",37.34619,126.85409
2024,2,3719-000,37,여주시-양평읍,4,경기,여주,대신,가산,수시," 11,066 ",37.3466,127.6145
2024,5,23-20   ,23,풍덕천동-금곡IC,8,경기,성남,분당,금곡,수시," 57,362 ",37.34829,127.10166
2024,1,05020,50,문막IC-만종JCT,4,강원,원주,문막,문막,수시," 40,287 ",37.34948,127.88239
2024,1,05004,50,서안산IC-안산IC,6,경기,안산,단원,선부,수시," 136,716 ",37.35015,126.82055
2024,5,98-12   ,98,산북면-곤지암,4,경기,광주,곤지암,곤지암,수시," 22,470 ",37.35022,127.35197
2024,3,0334-05 ,334,대장동-금곡동,6,경기,성남,분당,동원,수시," 42,915 ",37.35054,127.08846
2024,3,0321-08 ,321,용인시-오포읍,2,경기,용인,모현,일산,수시," 5,395 ",37.35141,127.23083
2024,1,01528,15,안산JCT-조남JCT,11,경기,안산,상록,부곡,수시," 203,064 ",37.35155,126.8613
2024,1,15304,153,남안산IC-군자JCT,6,경기,시흥, ,거모,수시," 62,838 ",37.35355,126.76815
2024,2,0719-000,7,근남면-삼척시,4,강원,삼척,근덕,광태,수시," 13,683 ",37.35435,129.23475
2024,3,0349-06 ,349,문막읍-강천면,2,경기,여주,강천,도전,수시, 810 ,37.35509,127.73601
2024,2,0526-003,5,행구동-장양리,4,강원,원주, ,봉산,상시," 19,092 ",37.3551,127.99487
