행정구역,순위,2023년 수(명),비율(%),lat,lon
서울특별시 마포구 공덕동,266.0,35343.0,0.07,37.5501743473819,126.960034513244
경기도 안산시 단원구 선부3동,267.0,35277.0,0.07,37.345012175422,126.812504360019
부산광역시 북구 금곡동,268.0,35222.0,0.07,35.2500842483266,129.012818480406
서울특별시 은평구 녹번동,269.0,35179.0,0.07,37.602216160965,126.929919982801
경기도 고양시 덕양구 관산동,270.0,35104.0,0.07,37.6879882033152,126.862553908166
경기도 김포시 마산동,271.0,35071.0,0.07,37.6404503702467,126.640710327775
인천광역시 부평구 청천2동,272.0,34964.0,0.07,37.5148562832894,126.704520034938
경기도 구리시 동구동,273.0,34942.0,0.07,37.6133506903719,127.140615824565
경기도 김포시 양촌읍,274.0,34853.0,0.07,37.6571252239981,126.625498579495
서울특별시 중랑구 망우본동,275.0,34833.0,0.07,37.6005319691714,127.101414648372
서울특별시 구로구 신도림동,276.0,34832.0,0.07,37.5077809050365,126.880610228674
서울특별시 강서구 발산1동,277.0,34799.0,0.07,37.5530979481591,126.833264722295
울산광역시 남구 무거동,278.0,34796.0,0.07,35.5509734013831,129.260721520209
경기도 남양주시 다산2동,279.0,34776.0,0.07,37.6076834642945,127.169430143245
경기도 수원시 영통구 매탄3동,280.0,34738.0,0.07,37.2564476583686,127.043110363743
인천광역시 서구 청라3동,281.0,34729.0,0.07,37.5359431886909,126.615601216486
광주광역시 서구 풍암동,282.0,34720.0,0.07,35.124750009182,126.878669562694
충청남도 서산시 석남동,283.0,34694.0,0.07,36.763938218666,126.453462553412
서울특별시 강남구 역삼2동,284.0,34689.0,0.07,37.4959639052055,127.046839198832
경기도 군포시 군포1동,285.0,34638.0,0.07,37.3536899891415,126.945574202218
경기도 고양시 덕양구 화정1동,286.0,34633.0,0.07,37.6446497353205,126.83354072354
서울특별시 동작구 대방동,287.0,34569.0,0.07,37.5081642609998,126.926343500008
경기도 용인시 수지구 풍덕천1동,288.0,34556.0,0.07,37.3279634166902,127.094954271241
세종특별자치시 세종시 고운동,289.0,34551.0,0.07,36.5241551273913,127.237632940381
광주광역시 광산구 신창동,290.0,34526.0,0.07,35.1955997021158,126.840703530965
경상북도 경산시 서부2동,291.0,34518.0,0.07,35.8275284931769,128.725865379761
서울특별시 동작구 흑석동,292.0,34500.0,0.07,37.5057750153538,126.966590753167
강원특별자치도 원주시 무실동,293.0,34464.0,0.07,37.3381922463301,127.929199369693
경상남도 거제시 고현동,294.0,34446.0,0.07,34.8822808816063,128.618381262237
서울특별시 금천구 시흥1동,295.0,34370.0,0.07,37.4535392677412,126.903250685753
경상남도 김해시 삼안동,296.0,34297.0,0.07,35.2438502891609,128.907455851987
경기도 의정부시 호원1동,297.0,34272.0,0.07,37.7119917253999,127.048771274281
서울특별시 구로구 구로2동,298.0,34270.0,0.07,37.4913926941214,126.883499417136
대구광역시 북구 무태조야동,299.0,34228.0,0.07,35.9213407929799,128.59710043336
경기도 양주시 회천2동,300.0,34223.0,0.07,37.8216832518813,127.046758060094
대구광역시 북구 관문동,301.0,34044.0,0.07,35.9017118424403,128.542123843969
서울특별시 성북구 석관동,302.0,34039.0,0.07,37.6129860183721,127.0614007785
인천광역시 남동구 구월2동,303.0,34028.0,0.07,37.4560677068175,126.713386439989
경기도 시흥시 신천동,304.0,34020.0,0.07,37.4355555341516,126.781870213243
대전광역시 서구 둔산2동,305.0,33962.0,0.07,36.3538336339666,127.3837013281
경기도 고양시 일산서구 대화동,306.0,33897.0,0.07,37.6829848694341,126.755141409924
대구광역시 달서구 상인1동,307.0,33894.0,0.07,35.8142592015533,128.545028726667
강원특별자치도 춘천시 석사동,308.0,33870.0,0.07,37.8552732879352,127.746663141751
서울특별시 구로구 개봉1동,309.0,33762.0,0.07,37.500265507775,126.851146433462
인천광역시 서구 검단동,310.0,33708.0,0.07,37.6133883786264,126.649063284691
전북특별자치도 군산시 나운3동,311.0,33686.0,0.07,35.9587982422936,126.689251951054
서울특별시 서대문구 신촌동,312.0,33661.0,0.07,37.5651616940517,126.93927687604
대전광역시 유성구 관평동,313.0,33635.0,0.06,36.4231207490059,127.388769859047
서울특별시 강남구 역삼1동,314.0,33619.0,0.06,37.4954279212043,127.033201088112
경기도 화성시 동탄2동,315.0,33608.0,0.06,37.1968524989845,127.0723933083
인천광역시 남동구 논현2동,316.0,33593.0,0.06,37.4042089342803,126.7163670558
서울특별시 성북구 길음1동,317.0,33592.0,0.06,37.6103983239178,127.019502782008
경기도 광주시 오포2동,318.0,33578.0,0.06,37.3776841055727,127.254597637005
부산광역시 해운대구 반여1동,319.0,33544.0,0.06,35.2011026587806,129.118933564247
경기도 하남시 위례동,320.0,33536.0,0.06,37.4772023871665,127.152421052742
경기도 용인시 기흥구 보정동,321.0,33487.0,0.06,37.3201877760016,127.113094904481
경상북도 경산시 서부1동,322.0,33419.0,0.06,35.8205495376324,128.727913848052
대구광역시 달서구 유천동,323.0,33397.0,0.06,35.8140262284257,128.514337755002
