대분류,지번주소 (읍/면/동),관할주소,인구[명],교통량,숙박업소(관광지수),상권밀집도(비율),공시지가(토지단가)
자동차관련시설,경북 포항시 북구 흥해읍 남송리 647,경상북도 포항시 북구 흥해읍,43013,,,0.02,
자동차관련시설,경북 포항시 남구 오천읍 문덕리 880-5,경상북도 포항시 남구 오천읍,56958,,,0.02,
자동차관련시설,경북 포항시 남구 연일읍 오천리 163-1,경상북도 포항시 남구 연일읍,28659,,,0.02,
자동차관련시설,경북 안동시 풍산읍 괴정리 42-1,경상북도 안동시 풍산읍,6089,,,0.05,
자동차관련시설,경북 경산시 진량읍 문천리 519-17,경상북도 경산시 진량읍,44028,,,0.02,
자동차관련시설,광주 남구 송하동 260-1,광주광역시 남구 송암동,22328,,,0.02,
자동차관련시설,광주 광산구 송촌동 66,광주광역시 광산구 평동,7242,,,0.07,
자동차관련시설,광주 광산구 도천동 380-15,광주광역시 광산구 비아동,7778,,,0.08,
자동차관련시설,광주 서구 화정동 180-1,광주광역시 서구 화정1동,15641,,,0.02,
자동차관련시설,광주 서구 세하동 171-34,광주광역시 서구 서창동,6034,,,0.22,
자동차관련시설,대구 북구 노원동3가 609,대구광역시 북구 노원동,10688,,,0.14,
자동차관련시설,대구 동구 용계동 1033,대구광역시 동구 안심2동,13270,,,0.02,
자동차관련시설,대구 달서구 장동 829,대구광역시 달서구 장기동,16567,,,0.03,
자동차관련시설,대구 서구 중리동 1165-10,대구광역시 서구 상중이동,19219,,,0.06,
자동차관련시설,대구 수성구 신매동 83-1,대구광역시 수성구 고산1동,30589,,,0.01,
자동차관련시설,대전 동구 대성동 276-14,대전광역시 동구 산내동,19742,,,0.02,
자동차관련시설,대전 서구 탄방동 1483-8,대전광역시 서구 탄방동,26546,,,0.03,
자동차관련시설,대전 대덕구 상서동 292,대전광역시 대덕구 덕암동,13275,,,0.03,
자동차관련시설,대전 중구 산성동 142-1,대전광역시 중구 산성동,25634,,,0.03,
자동차관련시설,대전 서구 탄방동 518-2,대전광역시 서구 탄방동,26546,,,0.03,
자동차관련시설,부산 부산진구 가야동 256-9,부산광역시 부산진구 가야1동,20267,,,0.01,
자동차관련시설,부산 연제구 거제동 23-6,부산광역시 연제구 거제1동,27662,,,0.02,
자동차관련시설,부산 연제구 거제동 1470-2,부산광역시 연제구 거제1동,27662,,,0.02,
자동차관련시설,부산 강서구 화전동 589-2,부산광역시 강서구 녹산동,39671,,,0.05,
자동차관련시설,부산 해운대구 재송동 561-2,부산광역시 해운대구 재송1동,35710,,,0.03,
자동차관련시설,서울 영등포구 양평동6가 1,서울특별시 영등포구 양평2동,22117,,,0.03,
자동차관련시설,서울 동작구 노량진동 20,서울특별시 동작구 노량진2동,11068,,,0.03,
자동차관련시설,서울 도봉구 방학동 708-2,서울특별시 도봉구 방학1동,27134,,,0.02,
자동차관련시설,서울 강서구 외발산동 233,서울특별시 강서구 발산1동,34799,,,0.04,
자동차관련시설,서울 마포구 성산동 590-3,서울특별시 마포구 성산2동,37637,,,0.02,
자동차관련시설,울산 울주군 삼남읍 상천리 419-20,울산광역시 울주군 삼남읍,22317,,,0.02,
자동차관련시설,울산 북구 신천동 544-6,울산광역시 북구 농소2동,42437,,,0.01,
자동차관련시설,울산 북구 진장동 197,울산광역시 북구 효문동,29237,,,0.04,
자동차관련시설,울산 북구 효문동 815-7,울산광역시 북구 효문동,29237,,,0.04,
자동차관련시설,울산 북구 신천동 797,울산광역시 북구 농소2동,42437,,,0.01,
자동차관련시설,인천 미추홀구 도화동 378-15,인천광역시 미추홀구 도화1동,21608,,,0.02,
자동차관련시설,인천 남동구 고잔동 257-48,인천광역시 남동구 논현고잔동,44096,,,0.04,
자동차관련시설,인천 서구 왕길동 420-2,인천광역시 서구 오류왕길동,26690,,,0.04,
자동차관련시설,인천 남동구 고잔동 306-2,인천광역시 남동구 논현고잔동,44096,,,0.04,
자동차관련시설,인천 중구 신흥동3가 60-24,인천광역시 중구 신흥동,14505,,,0.03,
자동차관련시설,전남 나주시 금천면 원곡리 257,전라남도 나주시 금천면,6608,,,0.01,
자동차관련시설,전남 목포시 옥암동 1381-2,전라남도 목포시 부주동,22116,,,0.01,
자동차관련시설,전남 순천시 조례동 7,전라남도 순천시 왕조1동,37680,,,0.02,
자동차관련시설,전남 나주시 산포면 등정리 191,전라남도 나주시 산포면,2762,,,0.04,
자동차관련시설,전남 목포시 옥암동 914-9,전라남도 목포시 옥암동,10816,,,0.03,
자동차관련시설,전북특별자치도 군산시 미룡동 587,전북특별자치도 군산시 나운3동,33686,,,0.01,
자동차관련시설,전북특별자치도 정읍시 공평동 328,전북특별자치도 정읍시 농소동,3714,,,0.05,
자동차관련시설,전북특별자치도 익산시 용제동 52,전북특별자치도 익산시 팔봉동,6802,,,0.05,
자동차관련시설,전북특별자치도 군산시 개정면 아동리 699-7,전북특별자치도 군산시 개정면,2609,,,0.04,
자동차관련시설,전북특별자치도 전주시 덕진구 만성동 362,전북특별자치도 전주시 덕진구 여의동,16206,,,0.03,
자동차관련시설,제주특별자치도 제주시 화북일동 2133-1,제주특별자치도 제주시 화북동,23355,,,0.02,
자동차관련시설,제주특별자치도 제주시 오라삼동 2811-4,제주특별자치도 제주시 오라동,15735,,,0.03,
자동차관련시설,제주특별자치도 제주시 화북일동 2131-3,제주특별자치도 제주시 화북동,23355,,,0.02,
자동차관련시설,제주특별자치도 제주시 아라이동 1622-3,제주특별자치도 제주시 아라동,42535,,,0.02,
자동차관련시설,제주특별자치도 제주시 애월읍 고성리 155,제주특별자치도 제주시 애월읍,37245,,,0.03,
자동차관련시설,충남 공주시 신관동 160-6,충청남도 공주시 신관동,23096,,,0.03,
자동차관련시설,충남 천안시 동남구 용곡동 133-1,충청남도 천안시 동남구 신방동,43783,,,0.02,
